"Glasshouse Mountains, Queensland","{'address': 'Glasshouse Mountains, Queensland', 'location': {'x': 152.95319, 'y': -26.89758}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 152.89519, 'ymin': -26.95558, 'xmax': 153.01119, 'ymax': -26.83958}}"
"Byron Bay, New South Wales","{'address': 'Byron Bay, Byron, New South Wales', 'location': {'x': 153.610903763, 'y': -28.646461092}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 153.576903763, 'ymin': -28.680461092, 'xmax': 153.644903763, 'ymax': -28.612461092}}"
"Tisbury, Wiltshire","{'address': 'Tisbury, Wiltshire, England', 'location': {'x': -2.080955103, 'y': 51.063208338}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -2.093955103, 'ymin': 51.050208338, 'xmax': -2.067955103, 'ymax': 51.076208338}}"
"Ilsington, Devon","{'address': 'Ilsington, Teignbridge, Devon, England', 'location': {'x': -3.719333592, 'y': 50.572406192}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -3.723333592, 'ymin': 50.568406192, 'xmax': -3.715333592, 'ymax': 50.576406192}}"
"Sainte Dode, France","{'address': 'Sainte-Dode, Mirande, Gers, Occitanie', 'location': {'x': 0.36333, 'y': 43.42}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 0.33133, 'ymin': 43.388, 'xmax': 0.39533, 'ymax': 43.452}}"
Letchworth,"{'address': 'Letchworth, North Hertfordshire, Hertfordshire, England', 'location': {'x': -0.229947366, 'y': 51.977104212}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -0.254947366, 'ymin': 51.952104212, 'xmax': -0.204947366, 'ymax': 52.002104212}}"
"Victoria, British Columbia","{'address': 'Victoria, British Columbia', 'location': {'x': -123.365642, 'y': 48.428409}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -123.396642, 'ymin': 48.397409, 'xmax': -123.334642, 'ymax': 48.459409}}"
"Plano, Texas","{'address': 'Plano, Texas', 'location': {'x': -96.697586, 'y': 33.019695}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -96.847586, 'ymin': 32.869695, 'xmax': -96.547586, 'ymax': 33.169695}}"
"Leamington Spa, Warwickshire","{'address': 'Leamington Spa, Warwickshire, England', 'location': {'x': -1.52, 'y': 52.2852}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -1.567, 'ymin': 52.2382, 'xmax': -1.473, 'ymax': 52.3322}}"
"Lucerne, Switzerland","{'address': 'Luzern', 'location': {'x': 8.19606247, 'y': 47.104037807}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 7.89906247, 'ymin': 46.807037807, 'xmax': 8.49306247, 'ymax': 47.401037807}}"
